1,Lewis Hamilton,1,1,HAM,
2,George Russell,2,1,RUS,
3,Max Verstappen,3,2,VER,
4,Sergio Perez,4,2,PER,
5,Charles Leclerc,5,3,LEC,
6,Carlos Sainz,6,3,SAI,
7,Lando Norris,7,4,NOR,
8,Oscar Piastri,8,4,PIA,
9,Esteban Ocon,9,5,OCO,
10,Pierre Gasly,10,5,GAS,
11,Yuki Tsunoda,11,6,TSU,
12,Nyck de Vries,12,6,DEV,
13,Fernando Alonso,13,7,ALO,
14,Lance Stroll,14,7,STR,
15,Valtteri Bottas,15,8,BOT,
16,Zhou Guanyu,16,8,ZHO,
17,Alex Albon,17,9,ALB,
18,Logan Sargeant,18,9,SAR,
19,Kevin Magnussen,19,10,MAG,
20,Nico Hulkenberg,20,10,HUL,
